,PH,PL
2001-05-22,1318.0416666666665,1319.6666666666667
2001-05-23,1299.4166666666665,1310.4166666666667
2001-05-24,1298.0833333333335,1293.8333333333333
2001-05-25,1287.2916666666665,1295.6666666666667
2001-05-29,1275.6666666666665,1282.1666666666667
2001-05-30,1257.8333333333335,1264.8333333333333
2001-05-31,1260.25,1262.5
2001-06-01,1267.4166666666665,1259.6666666666667
2001-06-04,1272.3333333333335,1266.5833333333333
2001-06-05,1287.2916666666665,1280.6666666666667
2001-06-06,1279.9583333333335,1284.3333333333333
2001-06-07,1280.4583333333335,1275.8333333333333
2001-06-08,1274.4583333333335,1276.5833333333333
2001-06-11,1261.1666666666665,1263.9166666666667
2001-06-12,1257.0416666666665,1251.9166666666667
2001-06-13,1249.9166666666665,1258.6666666666667
2001-06-14,1225.8333333333335,1243.3333333333333
2001-06-15,1213.9583333333335,1218.3333333333333
2001-06-18,1226.2083333333335,1229.0833333333333
2001-06-19,1229.8333333333335,1230.8333333333333
2001-06-20,1233.2083333333335,1229.3333333333333
2001-06-21,1246.25,1241.0
2001-06-22,1240.375,1241.5
2001-06-25,1230.7916666666665,1237.6666666666667
2001-06-26,1224.75,1221.75
2001-06-27,1224.5416666666665,1226.1666666666667
2001-06-28,1232.8333333333335,1234.5833333333333
2001-06-29,1242.375,1241.25
2001-07-02,1248.5416666666665,1241.1666666666667
2001-07-03,1249.0,1245.25
2001-07-05,1230.9583333333335,1242.0833333333333
2001-07-06,1203.4166666666665,1218.1666666666667
2001-07-09,1205.2083333333335,1203.5833333333333
2001-07-10,1195.4583333333335,1207.3333333333333
2001-07-11,1189.7083333333335,1188.0833333333333
2001-07-12,1215.125,1202.75
2001-07-13,1227.5416666666665,1220.1666666666667
2001-07-16,1217.2083333333335,1222.3333333333333
2001-07-17,1222.6666666666665,1214.1666666666667
2001-07-18,1216.9166666666665,1216.6666666666667
2001-07-19,1226.875,1223.5
2001-07-20,1220.25,1221.75
2001-07-23,1202.1666666666665,1217.6666666666667
2001-07-24,1184.875,1189.0
2001-07-25,1194.625,1189.0
2001-07-26,1207.7916666666665,1200.4166666666667
2001-07-27,1214.0416666666665,1211.1666666666667
2001-07-30,1214.4166666666665,1213.4166666666667
2001-07-31,1221.2916666666665,1224.4166666666667
2001-08-01,1225.7083333333335,1223.3333333333333
2001-08-02,1231.2083333333335,1231.8333333333333
2001-08-03,1224.2916666666665,1222.9166666666667
2001-08-06,1210.625,1218.5
2001-08-07,1211.9166666666665,1209.4166666666667
2001-08-08,1194.5416666666665,1206.6666666666667
2001-08-09,1191.3333333333335,1187.0833333333333
2001-08-10,1194.0833333333335,1187.5833333333333
2001-08-13,1197.4166666666665,1197.1666666666667
2001-08-14,1198.1666666666665,1200.9166666666667
2001-08-15,1188.125,1194.5
2001-08-16,1187.2083333333335,1179.5833333333333
2001-08-17,1172.875,1178.5
2001-08-20,1178.5,1171.75
2001-08-21,1166.0416666666665,1178.9166666666667
2001-08-22,1171.375,1167.25
2001-08-23,1169.5,1174.0
2001-08-24,1188.9583333333335,1178.3333333333333
2001-08-27,1187.0833333333335,1192.5833333333333
2001-08-28,1171.375,1180.75
2001-08-29,1159.1666666666665,1165.6666666666667
2001-08-30,1138.2916666666665,1149.6666666666667
2001-08-31,1142.5416666666665,1139.6666666666667
2001-09-04,1140.125,1152.5
2001-09-05,1135.9166666666665,1129.6666666666667
2001-09-06,1114.0,1130.5
2001-09-07,1092.2916666666665,1104.4166666666667
2001-09-10,1096.5833333333335,1084.0833333333333
2001-09-11,1097.3333333333335,1087.0833333333333
2001-09-17,1043.7916666666665,1043.1666666666667
2001-09-18,1041.0,1044.0
